,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,0.500000,0.423754,0.998540,0.883150,0.001730,0.983413,0.671295,1.000000,0.000170,0.884749,0.001730,0.826551,1.000000,0.999999,0.421486,0.001730,0.941487,0.999459,0.684375,0.987457,0.976936,0.998496,0.692490,0.994083,0.190397,0.987047,0.999427,0.989905,0.989217,0.838381,0.106027,0.980616,0.003504,0.001730,0.999972,0.001730,0.749398,0.997290,0.883774,0.991067,0.997006,0.000003,0.932842,0.725476,0.356065,0.191510,0.999257,0.995674,0.993407,0.999970,0.870088,0.851101,0.757239,0.131071
ajdqnf,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575972,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.660143,0.000000,0.000000,0.493532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.520564,0.000000,0.000000,0.000000
amsh7c,0.946406,0.655919,0.500000,0.982017,0.013170,0.984187,0.556049,0.995726,0.895094,0.490509,0.013170,0.435335,0.251613,0.045307,0.993505,0.013170,0.545664,0.524894,0.153912,0.840469,0.511706,0.697520,0.956123,0.981127,0.786824,0.345866,0.987266,0.481909,0.958241,0.893019,0.000017,0.704159,0.062243,0.013170,0.241576,0.013170,0.867138,0.069019,0.443563,0.398490,0.854896,0.631624,0.124228,0.983941,0.129583,0.300418,0.050727,0.738438,0.839264,0.960597,0.612656,0.717932,0.677937,0.421587
bay6g7,0.986437,1.000000,0.101086,0.500000,0.000032,0.999970,0.633055,0.987839,1.000000,1.000000,0.000032,0.477349,0.963658,0.995199,0.984747,0.000032,0.123270,1.000000,0.085316,0.430259,1.000000,0.469026,0.304437,0.999859,0.994354,0.769228,0.250473,0.998599,0.425974,0.599819,0.003743,0.167291,0.000689,0.000032,0.999999,0.000032,0.943318,0.982485,1.000000,0.999999,0.931132,1.000000,0.383627,1.000000,0.005959,0.054996,0.639286,0.761667,0.343447,0.995148,1.000000,0.056278,0.964074,0.014687
cjdk88,1.000000,1.000000,0.999980,0.999994,0.500000,1.000000,0.999929,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000,0.969367,0.555065,1.000000,0.999981,1.000000,1.000000,1.000000,1.000000,0.999146,1.000000,1.000000,1.000000,0.795522,0.998067,0.993579,0.500000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,0.999997,1.000000,0.999989,1.000000,0.184071,0.998088,0.999998,1.000000,1.000000,1.000000,1.000000,0.999999,1.000000,0.409194
ctkbn4,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
dlokv6,1.000000,0.999998,0.999986,0.999973,0.653101,1.000000,0.500000,1.000000,0.998533,0.999998,0.653101,1.000000,1.000000,1.000000,1.000000,0.653101,0.999303,1.000000,0.999433,0.859455,0.967828,0.999998,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999999,0.871412,0.794130,0.998890,0.995864,0.653101,0.999276,0.653101,1.000000,1.000000,0.999968,1.000000,1.000000,0.956112,0.999996,1.000000,0.906016,0.981780,1.000000,1.000000,0.999997,1.000000,1.000000,0.999831,1.000000,0.867344
dsdxd8,0.997227,0.124535,0.698920,0.569371,0.000000,0.994056,0.630907,0.500000,0.500598,0.588114,0.000000,0.387389,0.992942,0.999997,0.999753,0.000000,0.013260,0.944878,0.048297,0.236953,0.999130,0.965000,0.003875,0.999233,0.999985,0.998260,0.480769,0.998621,0.133170,0.277393,0.000161,0.886792,0.000000,0.000000,0.869685,0.000000,0.918269,1.000000,0.450294,0.842627,0.983803,0.328638,0.967711,1.000000,0.000356,0.000688,0.999584,0.981023,0.896570,0.999987,0.084182,0.464837,0.987383,0.000069
dtqb7d,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
elnfhc,0.596609,0.037086,0.226209,0.714906,0.000001,0.999834,0.652244,0.915964,0.649300,0.500000,0.000001,0.565799,0.999943,0.999974,0.508336,0.000001,0.470453,0.987335,0.145134,0.969922,0.999408,0.999903,0.222445,0.854113,0.900854,0.916714,0.947801,1.000000,0.474788,0.889278,0.000104,0.979532,0.000008,0.000001,0.983098,0.000001,0.466246,1.000000,0.243165,0.998755,0.992736,0.203202,0.976756,0.834784,0.000177,0.000315,0.999991,0.938825,0.483332,1.000000,0.096663,0.009465,0.742839,0.000082
