Unnamed: 0,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,Yes (0.5),Yes (0.423754),Yes (0.99854),Yes (0.88315),No (0.00173),Yes (0.9834129999999999),Yes (0.671295),Yes (1.0),No (0.00016999999999999999),Yes (0.884749),No (0.00173),Yes (0.826551),Yes (1.0),Yes (0.999999),Yes (0.42148599999999997),No (0.00173),Yes (0.9414870000000001),Yes (0.999459),Yes (0.684375),Yes (0.9874569999999999),Yes (0.976936),Yes (0.9984959999999999),Yes (0.6924899999999999),Yes (0.9940829999999999),Yes (0.190397),Yes (0.9870469999999999),Yes (0.9994270000000001),Yes (0.9899049999999999),Yes (0.989217),Yes (0.8383809999999999),Yes (0.106027),Yes (0.9806159999999999),No (0.0035039999999999997),No (0.00173),Yes (0.999972),No (0.00173),Yes (0.749398),Yes (0.99729),Yes (0.883774),Yes (0.991067),Yes (0.997006),No (3e-06),Yes (0.9328420000000001),Yes (0.725476),Yes (0.356065),Yes (0.19150999999999999),Yes (0.999257),Yes (0.995674),Yes (0.9934069999999999),Yes (0.99997),Yes (0.870088),Yes (0.851101),Yes (0.757239),Yes (0.131071)
ajdqnf,No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.575972),Yes (0.999999),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.660143),No (0.0),No (0.0),Yes (0.49353199999999997),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.520564),No (0.0),No (0.0),No (0.0)
amsh7c,Yes (0.946406),Yes (0.6559189999999999),Yes (0.5),Yes (0.982017),No (0.01317),Yes (0.984187),Yes (0.556049),Yes (0.995726),Yes (0.8950940000000001),Yes (0.49050900000000003),No (0.01317),Yes (0.435335),Yes (0.25161300000000003),No (0.045307),Yes (0.993505),No (0.01317),Yes (0.545664),Yes (0.524894),Yes (0.153912),Yes (0.840469),Yes (0.511706),Yes (0.69752),Yes (0.956123),Yes (0.9811270000000001),Yes (0.786824),Yes (0.345866),Yes (0.987266),Yes (0.48190900000000003),Yes (0.958241),Yes (0.893019),No (1.7e-05),Yes (0.704159),Yes (0.06224299999999999),No (0.01317),Yes (0.241576),No (0.01317),Yes (0.867138),Yes (0.06901900000000001),Yes (0.443563),Yes (0.39849),Yes (0.8548959999999999),Yes (0.631624),Yes (0.12422799999999999),Yes (0.983941),Yes (0.129583),Yes (0.30041799999999996),Yes (0.050727),Yes (0.738438),Yes (0.8392639999999999),Yes (0.9605969999999999),Yes (0.6126560000000001),Yes (0.717932),Yes (0.677937),Yes (0.421587)
bay6g7,Yes (0.9864370000000001),Yes (1.0),Yes (0.101086),Yes (0.5),No (3.2e-05),Yes (0.99997),Yes (0.633055),Yes (0.9878389999999999),Yes (1.0),Yes (1.0),No (3.2e-05),Yes (0.47734899999999997),Yes (0.963658),Yes (0.995199),Yes (0.9847469999999999),No (3.2e-05),Yes (0.12327),Yes (1.0),Yes (0.085316),Yes (0.430259),Yes (1.0),Yes (0.469026),Yes (0.304437),Yes (0.999859),Yes (0.9943540000000001),Yes (0.769228),Yes (0.250473),Yes (0.998599),Yes (0.42597399999999996),Yes (0.599819),No (0.003743),Yes (0.167291),No (0.0006889999999999999),No (3.2e-05),Yes (0.999999),No (3.2e-05),Yes (0.943318),Yes (0.982485),Yes (1.0),Yes (0.999999),Yes (0.931132),Yes (1.0),Yes (0.383627),Yes (1.0),No (0.005959000000000001),Yes (0.054996),Yes (0.639286),Yes (0.761667),Yes (0.343447),Yes (0.9951479999999999),Yes (1.0),Yes (0.056277999999999995),Yes (0.964074),No (0.014687)
cjdk88,Yes (1.0),Yes (1.0),Yes (0.99998),Yes (0.999994),Yes (0.5),Yes (1.0),Yes (0.9999290000000001),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (0.969367),Yes (0.5550649999999999),Yes (1.0),Yes (0.9999809999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.9991459999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.7955220000000001),Yes (0.998067),Yes (0.9935790000000001),Yes (0.5),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.9999969999999999),Yes (1.0),Yes (0.9999889999999999),Yes (1.0),Yes (0.184071),Yes (0.998088),Yes (0.9999979999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.999999),Yes (1.0),Yes (0.409194)
ctkbn4,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
dlokv6,Yes (1.0),Yes (0.9999979999999999),Yes (0.999986),Yes (0.999973),Yes (0.653101),Yes (1.0),Yes (0.5),Yes (1.0),Yes (0.998533),Yes (0.9999979999999999),Yes (0.653101),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.653101),Yes (0.999303),Yes (1.0),Yes (0.999433),Yes (0.859455),Yes (0.967828),Yes (0.9999979999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.999999),Yes (0.8714120000000001),Yes (0.79413),Yes (0.99889),Yes (0.995864),Yes (0.653101),Yes (0.999276),Yes (0.653101),Yes (1.0),Yes (1.0),Yes (0.9999680000000001),Yes (1.0),Yes (1.0),Yes (0.9561120000000001),Yes (0.9999959999999999),Yes (1.0),Yes (0.9060159999999999),Yes (0.9817799999999999),Yes (1.0),Yes (1.0),Yes (0.9999969999999999),Yes (1.0),Yes (1.0),Yes (0.9998309999999999),Yes (1.0),Yes (0.867344)
dsdxd8,Yes (0.9972270000000001),Yes (0.12453499999999999),Yes (0.69892),Yes (0.569371),No (0.0),Yes (0.9940559999999999),Yes (0.630907),Yes (0.5),Yes (0.500598),Yes (0.588114),No (0.0),Yes (0.387389),Yes (0.992942),Yes (0.9999969999999999),Yes (0.9997530000000001),No (0.0),No (0.01326),Yes (0.9448780000000001),No (0.048297),Yes (0.23695300000000002),Yes (0.99913),Yes (0.965),No (0.003875),Yes (0.999233),Yes (0.999985),Yes (0.99826),Yes (0.48076899999999995),Yes (0.9986209999999999),Yes (0.13317),Yes (0.277393),No (0.000161),Yes (0.886792),No (0.0),No (0.0),Yes (0.869685),No (0.0),Yes (0.918269),Yes (1.0),Yes (0.45029399999999997),Yes (0.842627),Yes (0.9838030000000001),Yes (0.328638),Yes (0.9677110000000001),Yes (1.0),No (0.000356),No (0.000688),Yes (0.999584),Yes (0.981023),Yes (0.8965700000000001),Yes (0.9999870000000001),Yes (0.084182),Yes (0.464837),Yes (0.987383),No (6.9e-05)
dtqb7d,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
elnfhc,Yes (0.5966090000000001),No (0.037086),Yes (0.22620900000000002),Yes (0.714906),No (1e-06),Yes (0.999834),Yes (0.6522439999999999),Yes (0.9159639999999999),Yes (0.6493),Yes (0.5),No (1e-06),Yes (0.5657989999999999),Yes (0.999943),Yes (0.999974),Yes (0.508336),No (1e-06),Yes (0.47045299999999995),Yes (0.9873350000000001),Yes (0.14513399999999999),Yes (0.969922),Yes (0.999408),Yes (0.9999030000000001),Yes (0.22244499999999998),Yes (0.8541129999999999),Yes (0.900854),Yes (0.9167139999999999),Yes (0.947801),Yes (1.0),Yes (0.474788),Yes (0.889278),No (0.00010400000000000001),Yes (0.979532),No (8e-06),No (1e-06),Yes (0.9830979999999999),No (1e-06),Yes (0.466246),Yes (1.0),Yes (0.24316500000000002),Yes (0.998755),Yes (0.9927360000000001),Yes (0.203202),Yes (0.976756),Yes (0.834784),No (0.000177),No (0.000315),Yes (0.999991),Yes (0.938825),Yes (0.483332),Yes (1.0),Yes (0.096663),No (0.009465000000000001),Yes (0.742839),No (8.2e-05)
