,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,0.000000,-29.786565,-3.059188,-16.813768,-50.970034,-55.612377,-19.213021,-20.522882,-19.155912,-28.773685,-50.970034,11.776315,46.645958,-15.239803,6.282539,-50.970034,-13.974487,-15.024801,-11.365424,-12.406823,-12.649892,-16.065866,0.864513,0.045252,-10.523952,-17.147866,-16.366773,-15.622327,-11.314016,-19.299108,-23.401051,-7.842847,-20.464141,-50.970034,-17.028499,-50.970034,-24.538562,-8.188104,-30.897033,-12.726294,-9.067284,-27.682428,-12.535094,1.704045,-11.231139,-40.872297,-8.283542,-18.029404,-34.436515,-31.443842,-22.629394,-3.664963,-5.414633,-29.278453
ajdqnf,-52.704689,0.000000,-59.349028,-52.296576,-71.502544,-51.974360,-60.998983,-57.680355,-84.820171,0.880415,-71.502544,-55.716584,-57.245150,-51.724795,-54.121648,-71.502544,-61.721275,-52.299714,-60.772261,-60.686907,-68.804348,-55.124615,-57.205050,-49.427497,-55.970429,-63.907111,-52.327036,-51.908762,-60.984547,-62.322580,-64.874481,-58.981506,-62.858460,-71.502544,-48.396173,-71.502544,-49.822863,-57.275559,-0.088765,-52.017147,-58.955887,13.763253,-59.116642,-54.103004,-61.420107,-64.935659,-58.400658,-55.779632,-57.058041,-54.085769,6.269340,-58.506176,-55.200870,-63.572092
amsh7c,-6.840651,-30.920739,0.000000,-6.015621,-41.160115,-4.702714,-11.238640,3.784274,-18.461210,-29.751784,-41.160115,-15.178739,-10.426056,-25.871125,-2.773964,-41.160115,-4.435006,-16.642877,-13.713984,6.167503,-19.788520,-7.513147,1.902015,-7.287447,-8.748477,-4.700175,-6.325250,-8.732349,-1.646387,-7.172667,-12.952719,-2.491843,-1.087076,-41.160115,-19.734700,-41.160115,-13.851493,-19.128683,-33.081443,-13.490727,-3.913294,-23.836790,-16.789264,-3.260870,-1.169390,-25.755244,-14.351175,-8.899671,-6.021418,2.033342,-25.590947,-3.191668,-12.799558,-18.203615
bay6g7,-0.176130,49.863124,-6.378627,0.000000,-19.471547,0.030767,-7.199397,-3.058091,20.235924,51.271204,-19.471547,-2.632630,-4.345285,-0.495183,-1.333809,-19.471547,-6.650563,0.758056,-6.998686,-7.141675,18.830683,-1.916251,-4.920094,2.547529,-2.803450,-7.454759,0.192397,-0.103667,-6.903316,-8.343169,-9.958194,-5.000434,-9.618299,-19.471547,4.669527,-19.471547,2.392679,-5.001135,48.641214,-0.211181,-5.283749,37.522506,-5.993860,-1.317845,-7.115213,-12.520809,-5.122185,-1.946516,-5.692848,-1.838009,42.845131,-4.847780,-2.439477,-12.103565
cjdk88,68.696104,14.384273,48.102719,57.322652,0.000000,59.926946,37.052708,68.440272,33.328185,15.620303,0.000000,66.548562,62.905668,67.397517,72.226291,0.000000,53.232311,67.716367,35.176742,4.836847,21.687710,49.713195,66.941011,58.881821,63.094986,28.696135,53.266731,48.442818,39.464290,46.593196,34.260503,48.241934,36.911068,0.000000,16.541568,0.000000,58.104835,59.273962,9.061347,47.363505,32.049216,23.843355,45.319035,71.864025,31.911443,7.313188,35.800860,69.354340,54.585000,71.970755,21.500626,55.737563,60.951213,10.139852
ctkbn4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dlokv6,6.632498,-16.928961,15.855430,8.314171,-28.504528,6.779775,0.000000,24.111721,-8.010787,-16.608020,-28.504528,20.126139,11.091526,18.164426,17.787075,-28.504528,9.313837,15.681573,15.897900,-7.609951,-11.350880,10.584686,24.491852,7.002743,14.430979,6.845061,14.304690,-3.690882,14.364121,3.474559,1.442315,6.803710,9.040864,-28.504528,-3.038298,-28.504528,6.010340,30.175656,-19.902112,14.901559,12.544336,-12.937248,27.157373,24.257923,8.928745,-13.953794,15.643753,22.662547,13.299443,26.282385,-12.268485,15.711607,9.069629,-11.604128
dsdxd8,44.582885,-26.293157,4.723671,43.657543,-42.798681,47.284520,2.341378,0.000000,-9.414159,-24.131453,-42.798681,170.810536,13.969156,-353.412061,167.193943,-42.798681,-5.961278,37.744436,3.093885,-0.384752,-6.872816,103.146338,5.364736,18.843169,-108.786962,3.819958,8.560024,285.246829,1.125688,-5.351730,-15.157788,33.666405,-14.259628,-42.798681,7.906793,-42.798681,13.130701,14.931277,-26.731002,22.825647,3.900333,-15.724331,22.055310,-309.263113,1.543712,-25.452093,153.403167,24.497844,23.361119,106.298275,-18.525033,7.610722,20.115516,-20.789917
dtqb7d,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
elnfhc,30.209690,-4.168290,7.778811,35.026266,-23.820141,33.213229,6.187597,17.386754,18.505037,0.000000,-23.820141,23.967571,19.561989,38.124517,24.936983,-23.820141,6.848999,30.746770,6.680179,10.880838,19.939447,30.413498,16.202523,37.247213,17.247671,4.793950,32.355404,43.022532,10.912401,5.230585,0.141931,17.619613,1.215471,-23.820141,40.554298,-23.820141,35.955955,24.255094,-2.462912,33.888984,11.574200,6.608971,17.490131,24.720148,7.342149,-14.891269,19.427794,22.958722,14.403681,31.801822,3.632361,9.676360,19.421246,-7.036758
