,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369,-0.21826241039837369
ajdqnf,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823,-0.8481651124462823
amsh7c,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034,-0.16611861855511034
bay6g7,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956,-0.297264694214956
cjdk88,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
ctkbn4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
dlokv6,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814,0.029632364402845814
dsdxd8,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769,-0.3675223096186769
dtqb7d,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
elnfhc,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738,-0.3598381615641738
