,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,-0.11690632588707668,-0.18258441312352408,-0.4255933309364842,-0.2619741193773139,0.0001,-0.42760761142719583,-0.23459915958296043,-0.64665081524054,0.07432120639279215,-0.3547652850396902,0.0001,-0.3211603297189106,-0.6465030137638498,-0.6539088072075535,-0.141121867479726,0.0001,-0.28766192794592227,-0.48148471540439935,-0.16120437119191885,-0.4096838714434218,-0.36493271824801654,-0.4530465294071251,-0.2542327851279552,-0.4561831720776199,-0.14783981935078497,-0.42175877471814227,-0.47433824605466574,-0.38986725947509165,-0.3570933598302972,-0.23155706726482508,-0.08319526775810183,-0.35915007552963346,-0.034123201429772175,0.0001,-0.6080746204717449,0.0001,-0.24912938225913747,-0.4425650736750431,-0.3284137805761681,-0.38961513607328313,-0.42817161808893006,0.09407475622244027,-0.33269215338183417,-0.29396471761421716,-0.11455278030653855,-0.10673246236664,-0.4760467517604582,-0.45500350761857034,-0.39026842743298257,-0.5101655902596196,-0.27333897369900506,-0.19707318878461055,-0.2624760496717305,-0.08822030300393748
ajdqnf,-0.36294346644357456,-0.8459012667136341,-0.17676678116855252,-0.25511087730727056,0.0001,-0.3674074820244372,-0.2640386959108022,-0.3019464654564041,-0.8109303509451307,-0.6458622725813725,0.0001,-0.11128183527661348,-0.364072257685693,-0.38708073365066414,-0.34701393162661254,0.0001,-0.1486133961846851,-0.5094097482895531,-0.12280628816012075,-0.17308512049662092,-0.620616576872202,-0.14104280739545239,-0.06011450594684652,-0.4757681634918445,-0.326142774136459,-0.16036413706244396,-0.29875364237352153,-0.44577445861493203,-0.09422594443365048,-0.2494751086094137,0.019884347315164662,-0.024261666046092187,-0.010907391778530527,0.0001,-0.5997163904115994,0.0001,-0.33072450396285247,-0.42080805821440015,-0.7827023183194343,-0.47322346730104725,-0.37359644546705684,-0.8490134266470715,-0.2074570111452071,-0.4835602110724897,-0.08812537909106949,-0.23199783767316137,-0.15925760715109258,-0.1214688342326362,-0.28092183466429244,-0.447883021020557,-0.8297738186782797,-0.0418466935764769,-0.35208655112788095,-0.09517910232731347
amsh7c,-0.2986149090505445,-0.18509085037050244,-0.1292761748854021,-0.25588185308411887,0.0001,-0.32552861844109793,-0.13954086251928183,-0.34167579723211033,-0.29592242082989767,-0.14170335976233747,0.0001,-0.10096219617070144,-0.07683340117004285,-0.01006097594739871,-0.40590650591097616,0.0001,-0.12948898076765872,-0.1315455875798323,-0.03856318141929458,-0.19732569188656884,-0.12433901277296192,-0.15345729811097264,-0.2649265331647436,-0.35373530207162424,-0.23745135267702402,-0.057790280196293446,-0.3188285055780615,-0.13692755973983883,-0.2827397080579399,-0.24664013982361072,0.15743458696133603,-0.16344133831259683,0.00938670806888403,0.0001,-0.08662432620381914,0.0001,-0.24839906217395524,0.021988822757123497,-0.15592883314499886,-0.11569000332334996,-0.2329529541118243,-0.195382517658032,-0.0286754183628929,-0.33763720348965875,-0.03621805761275934,-0.09028803837130826,0.06320081131666115,-0.15805468446010318,-0.22460667514418675,-0.23239457142107692,-0.20776451283821165,-0.15329357235780794,-0.17513568471007596,-0.13138374824159932
bay6g7,-0.5069572472689579,-0.7978563740312282,-0.17659155638469268,-0.2609044922562631,0.0001,-0.5521321970102191,-0.3357539051911993,-0.5337617201379458,-0.8374212105744799,-0.8575151973916685,0.0001,-0.28473035030059535,-0.48383867562818084,-0.5297792557570729,-0.48860837566328724,0.0001,-0.1543291120179481,-0.7042844495695102,-0.13647384577381622,-0.25467391842608234,-0.7746318178204268,-0.2523246760691705,-0.24164291717311437,-0.6014753461345855,-0.5551471280811562,-0.37035104827488297,-0.2441059795608478,-0.5899202587543831,-0.29300890321786965,-0.336736674573752,-0.07128521668577378,-0.21150324412121554,0.0033864507606599058,0.0001,-0.6681619803805529,0.0001,-0.47526470238937424,-0.5329447218198403,-0.8511480651348996,-0.6255449021049495,-0.4803872818407377,-0.6717645153848502,-0.24114408113806798,-0.7217426719788522,-0.09126252179257659,-0.22994327616941232,-0.39532375851238455,-0.39551299319131994,-0.23331617892106,-0.47629078314325796,-0.8217072567764598,-0.06389800212700181,-0.5141517437739773,-0.14659561490658343
cjdk88,-0.7627918584516709,-0.5779135635466491,-0.2996564632681128,-0.28940423173328234,0.0001,-0.6225266738083655,-0.26831016053291784,-0.6882079939463757,-0.6496192348044715,-0.6705908867326514,0.0001,-0.3423240868568884,-0.632625623264796,-0.7958467944322325,-0.7739131400200581,0.0001,-0.34502033633987217,-0.8417309672167371,-0.09652377867652877,0.034092309461188575,-0.6402104836188729,-0.24819694721558583,-0.4117915081900119,-0.7612723560066147,-0.5984421771550414,-0.4209033347151685,-0.22059450113833368,-0.4111168193707182,-0.38817517339700663,-0.5085457861478856,0.009506261993193783,-0.2042064656174099,-0.16922195416545308,0.0001,-0.3472078328841307,0.0001,-0.7023502185750156,-0.7271168043813998,-0.6283350675545384,-0.6478847015166239,-0.3449141274368681,-0.43725552976717647,-0.29418667559693773,-0.8072538020006288,0.0810709025963163,-0.18218458402550253,-0.29834389770362957,-0.4697290385475989,-0.38404874408262013,-0.7964005323139371,-0.5529204698882918,-0.3062828588623767,-0.5531382020096414,0.023822447111090064
ctkbn4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
dlokv6,-0.48925572193174394,-0.4007774868649519,-0.352662067295682,-0.3214211466531041,0.0001,-0.4676777592870343,0.08192578464209095,-0.6674668602997799,-0.2649236548902575,-0.3652973362221182,0.0001,-0.42609781295948834,-0.5572556107956118,-0.7219294772168562,-0.5557350484354258,0.0001,-0.17754320081574212,-0.723745123230354,-0.17772184582272377,-0.04395966222439173,-0.18386674453039306,-0.33839999981106017,-0.48680404357443907,-0.6342426443868051,-0.37002584922387255,-0.42482821440836915,-0.5594216886971263,-0.4107370374559831,-0.3834802487335272,-0.019800881522890584,-0.02781314472663696,-0.20220814146274554,-0.17479520546095728,0.0001,-0.2782220496494899,0.0001,-0.526863137968099,-0.5508549882350624,-0.3819920355331308,-0.5901404813114545,-0.4613769303488931,-0.14787838330951214,-0.3648097437218431,-0.7051091306309236,-0.017234337126167617,-0.11516031149691142,-0.427487769534928,-0.6002387785261956,-0.3466860351759678,-0.6264232395188223,-0.4340196909585951,-0.23749454598951913,-0.522102974168257,0.011422053814130412
dsdxd8,-0.5597044403838534,-0.2765207399866506,-0.38890973631569403,-0.3066940156170646,0.0001,-0.5728898875128593,-0.4028294050426534,-0.339510735280211,-0.3660966526086021,-0.4068739442539162,0.0001,-0.29628051662218363,-0.5748147585927115,-0.6873624672698323,-0.6511856060359617,0.0001,-0.11691618580489457,-0.5007271759586707,-0.178224286448871,-0.29629468073295845,-0.6714069136650724,-0.5111447248833157,-0.17172062313880182,-0.6391031413746009,-0.6750146928337223,-0.599761901091186,-0.3214016315470719,-0.6144538285774988,-0.21307845219082752,-0.29874912058311526,-0.06615929437138145,-0.4562310584631236,0.014851675909901722,0.0001,-0.49968341044405623,0.0001,-0.4885897599066216,-0.6983337434092387,-0.36836786942446675,-0.43924468482061285,-0.5118786047630003,-0.33425967310324717,-0.5023851609766988,-0.7794935792781235,-0.04865520121919974,-0.10231846868399565,-0.6148110509919991,-0.519987698222899,-0.4197795636588693,-0.6840439198084127,-0.30857821200807034,-0.32932244220714546,-0.5470399354831762,0.002419897026192158
dtqb7d,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
elnfhc,-0.359851744167344,-0.11546948610103304,-0.29407801970154956,-0.2914840702291451,0.0001,-0.6170856271084124,-0.3582527551690757,-0.4289482986168143,-0.36829092725624096,-0.3653180016258312,0.0001,-0.3567515804815616,-0.6582378171925418,-0.6380857838925753,-0.3316240281835094,0.0001,-0.3019394841139884,-0.5558246905623105,-0.19737927696605537,-0.5097173895731199,-0.6153907003416792,-0.592732536004202,-0.23542080683711775,-0.37378232291619967,-0.46615946409083064,-0.4411388833175088,-0.45718903308614384,-0.7770292162004296,-0.3194506371653059,-0.40516408206086635,-0.033767409120166826,-0.49808220226261357,0.01190367737422891,0.0001,-0.5571418805998126,0.0001,-0.3397925415319543,-0.6764836855750953,-0.27394018027582684,-0.6431347450703213,-0.5576656336390299,-0.17440145515550567,-0.4889167079710619,-0.4367620292513118,-0.06288134364392307,-0.08472704531200995,-0.6392355590706974,-0.42979741226790213,-0.26978651574405726,-0.6595331379003034,-0.13959438630016463,-0.14961683026053513,-0.411700070036126,-0.005478414281211471
